seed,method,instance,delta_kind,value,initial_value,proven_optimal,best_known,final_gap,primal_integral
1,cpsat_cold,0,base,1209458562,,False,1209458562,0.0,0.039351032744541624
1,cpsat_cold,1,value_jitter,1213186519,,True,1213186519,0.0,0.03878779894519818
1,cpsat_cold,2,capacity,1240143326,,True,1240143326,0.0,0.03830761284544856
1,cpsat_cold,3,value_jitter,1242349775,,False,1242349775,0.0,0.046843126249348076
1,cpsat_cold,4,capacity,1327329877,,True,1327329877,0.0,0.04822061868205671
1,boot_cold,0,base,1209458562,,False,1209458562,0.0,0.03913929726431183
1,boot_cold,1,value_jitter,1213186519,1208955052.0,True,1213186519,0.0,0.00019587142635942462
1,boot_cold,2,capacity,1240143326,1239757743.0,True,1240143326,0.0,7.383876420729939e-05
1,boot_cold,3,value_jitter,1242349775,1240613719.0,False,1242349775,0.0,0.0001608732619163017
1,boot_cold,4,capacity,1327329877,1327318279.0,True,1327329877,0.0,6.302601528139101e-05
2,cpsat_cold,0,base,1208829992,,False,1208829992,0.0,0.04178988466431247
2,cpsat_cold,1,value_jitter,1212368035,,False,1212368035,0.0,0.03939182853014829
2,cpsat_cold,2,removal,1194023970,,True,1194023970,0.0,0.03763462063933137
2,cpsat_cold,3,removal,1178068455,,True,1178068455,0.0,0.03475834664296033
2,cpsat_cold,4,removal,1160185645,,True,1160185645,0.0,0.03235670411739442
2,boot_cold,0,base,1208829992,,False,1208829992,0.0,0.040758791319630866
2,boot_cold,1,value_jitter,1212368035,1209123637.0,False,1212368035,0.0,0.00018948584082412165
2,boot_cold,2,removal,1194023970,1193618982.0,True,1194023970,0.0,8.275801312242656e-05
2,boot_cold,3,removal,1178068455,1177421280.0,True,1178068455,0.0,8.150519305752903e-05
2,boot_cold,4,removal,1160185645,1159964098.0,True,1160185645,0.0,6.370559742687171e-05
