seed,method,split,mean_pi,mean_final_gap,wins
1,cpsat_cold,full,0.01978214998339385,0.0026808817813315567,3
1,fixed_random_40,i6_r4_s0.5,0.030052600635838887,0.00679472025216706,2
1,fixed_random_40,i6_r4_s1,0.030165000121291075,0.00679472025216706,2
1,cpsat_warm,full,0.030887879085148673,0.004757683215130024,3
1,fixed_machine_40,i6_r4_s0.5,0.03122539229713491,0.007408635516756988,1
1,fixed_late_jobs_40,i6_r4_s1,0.03141091648821209,0.009461386918833727,2
1,fixed_critical_40,i6_r4_s0.5,0.03153468140814171,0.009784916052611992,1
1,fixed_late_jobs_40,i6_r4_s0.5,0.03154742006017554,0.009461386918833727,2
1,fixed_delta_expand_40,i8_r2_s0.5,0.03181464526905617,0.009512639070535654,1
1,fixed_bottleneck_40,i8_r2_s0.5,0.031842164669992776,0.009512639070535654,1
1,fixed_outage_window_40,i8_r2_s0.5,0.031877887650603974,0.009512639070535654,1
1,fixed_delta_40,i8_r2_s0.5,0.03189939888568259,0.008031157589054172,1
1,fixed_late_jobs_40,i8_r2_s0.5,0.03195425846765325,0.009512639070535654,1
1,fixed_machine_40,i8_r2_s0.5,0.03199371679388102,0.009512639070535654,1
1,fixed_critical_40,i8_r2_s0.5,0.032003968677982816,0.009216342774239359,1
1,fixed_critical_40,i6_r4_s1,0.032011350457303495,0.009784916052611992,1
1,fixed_critical_block_40,i8_r2_s0.5,0.032036161193886144,0.009512639070535654,1
1,fixed_machine_40,i6_r4_s1,0.03204293656240094,0.007408635516756988,1
1,fixed_random_40,i8_r2_s0.5,0.03217365110380008,0.009216342774239359,1
1,fixed_delta_40,i6_r4_s0.5,0.03242073444592774,0.01007174840475743,1
1,fixed_delta_40,i6_r4_s1,0.032470815668343186,0.01007174840475743,1
1,fixed_bottleneck_40,i6_r4_s0.5,0.033217347816701534,0.012438564996461579,1
1,fixed_bottleneck_40,i6_r4_s1,0.03339887995624813,0.012438564996461579,1
1,fixed_critical_block_40,i6_r4_s1,0.03345259549101527,0.010093071076754768,1
1,fixed_critical_block_40,i6_r4_s0.5,0.03349258685546552,0.010093071076754768,1
1,fixed_delta_expand_40,i6_r4_s0.5,0.03433593757752633,0.010967744850978765,1
1,fixed_delta_expand_40,i6_r4_s1,0.03440931153230921,0.010967744850978765,1
1,fixed_outage_window_40,i6_r4_s1,0.03450668747961843,0.010967744850978765,1
1,fixed_outage_window_40,i6_r4_s0.5,0.03461335312015467,0.010967744850978765,1
2,cpsat_warm,full,0.03295378388279853,0.010001944155307384,0
2,fixed_critical_block_40,i6_r4_s1,0.0366656284611022,0.018776796375977574,0
2,fixed_outage_window_40,i6_r4_s1,0.03684180921391346,0.018776796375977574,0
2,fixed_outage_window_40,i6_r4_s0.5,0.03686974963099967,0.018776796375977574,0
2,cpsat_cold,full,0.03702739034111789,0.015290559264547731,0
2,fixed_random_40,i6_r4_s0.5,0.037385480471971114,0.018843171343375147,0
2,fixed_delta_expand_40,i6_r4_s1,0.038556176311846976,0.02040836482975361,0
2,fixed_delta_expand_40,i6_r4_s0.5,0.038703149877311535,0.02040836482975361,0
2,fixed_random_40,i6_r4_s1,0.03884418341047809,0.013104348179446015,0
2,fixed_late_jobs_40,i6_r4_s1,0.03948523962691973,0.0197474414215461,0
2,fixed_critical_40,i8_r2_s0.5,0.03969771163595219,0.021012275494782625,0
2,fixed_critical_block_40,i6_r4_s0.5,0.04006250338061227,0.020416192705938974,0
2,fixed_machine_40,i6_r4_s1,0.040858922032135835,0.025200567233525307,0
2,fixed_machine_40,i6_r4_s0.5,0.04111086003097023,0.025200567233525307,0
2,fixed_delta_40,i6_r4_s1,0.042264026567271164,0.020768630686357713,0
2,fixed_delta_40,i6_r4_s0.5,0.04306297555560758,0.022451575849188034,0
2,fixed_delta_40,i8_r2_s0.5,0.04321479951661968,0.00913613243289143,2
2,fixed_critical_block_40,i8_r2_s0.5,0.0432236574539333,0.023144508985910552,0
2,fixed_critical_40,i6_r4_s1,0.0434987962757223,0.021531212989713895,1
2,fixed_late_jobs_40,i6_r4_s0.5,0.043772547196152235,0.027097444403594174,0
2,fixed_critical_40,i6_r4_s0.5,0.04433090186507238,0.018797158567583055,1
2,fixed_bottleneck_40,i8_r2_s0.5,0.04528878089552089,0.01987215148222026,1
2,fixed_late_jobs_40,i8_r2_s0.5,0.04588602906316468,0.022940687152581872,0
2,fixed_random_40,i8_r2_s0.5,0.04740566343452213,0.011131880426663137,2
2,fixed_machine_40,i8_r2_s0.5,0.04769800946692458,0.02241229071267043,0
2,fixed_outage_window_40,i8_r2_s0.5,0.049825326927845026,0.021748491523431373,0
2,fixed_delta_expand_40,i8_r2_s0.5,0.050000154361196356,0.021748491523431373,0
2,fixed_bottleneck_40,i6_r4_s1,0.0511230814249808,0.03729611353290253,0
2,fixed_bottleneck_40,i6_r4_s0.5,0.05148446332979264,0.03729611353290253,0
