method,split,mean_pi,median_pi,mean_final_gap,wins,mean_rounds,mean_improving_rounds,mean_repair_improvement
cpsat_cold,full,0.02840477016225587,0.026247302768486223,0.008985720522939644,3,0.0,0.0,0.0
cpsat_warm,full,0.0319208314839736,0.028066283430748167,0.007379813685218703,3,0.0,0.0,0.0
fixed_random_40,i6_r4_s0.5,0.033719040553905,0.03393018134958837,0.012818945797771106,2,105.5,1.0,1.7
fixed_random_40,i6_r4_s1,0.034504591765884586,0.03337550491884988,0.009949534215806539,2,108.0,1.1,2.4
fixed_critical_block_40,i6_r4_s1,0.03505911197605873,0.029885729354681763,0.014434933726366169,1,121.1,0.5,1.6
fixed_late_jobs_40,i6_r4_s1,0.03544807805756591,0.03514946364178121,0.014604414170189914,2,98.2,0.5,1.2
fixed_outage_window_40,i6_r4_s1,0.03567424834676595,0.03296898808951067,0.01487227061347817,1,117.3,0.6,1.7
fixed_outage_window_40,i6_r4_s0.5,0.03574155137557717,0.03305437300526389,0.01487227061347817,1,117.9,0.6,1.7
fixed_critical_40,i8_r2_s0.5,0.0358508401569675,0.03160629037445698,0.015114309134510992,1,55.0,0.7,1.3
fixed_machine_40,i6_r4_s0.5,0.03616812616405257,0.03406698047536236,0.016304601375141146,1,101.2,0.9,2.4
fixed_machine_40,i6_r4_s1,0.036450929297268383,0.03398370767305274,0.016304601375141146,1,101.0,0.9,2.4
fixed_delta_expand_40,i6_r4_s1,0.036482743922078086,0.036014765633335,0.015688054840366186,1,115.7,0.7,1.9
fixed_delta_expand_40,i6_r4_s0.5,0.03651954372741893,0.03603385136706623,0.015688054840366186,1,115.3,0.7,1.9
fixed_critical_block_40,i6_r4_s0.5,0.03677754511803889,0.030383013765733838,0.01525463189134687,1,110.3,0.9,3.0
fixed_delta_40,i6_r4_s1,0.03736742111780718,0.0347373289649662,0.015420189545557572,1,108.7,1.4,2.3
fixed_delta_40,i8_r2_s0.5,0.03755709920115114,0.03154638887251519,0.008583645010972802,3,58.2,1.6,4.6
fixed_critical_block_40,i8_r2_s0.5,0.03762990932390972,0.03147084734826145,0.016328574028223103,1,57.4,0.1,0.1
fixed_late_jobs_40,i6_r4_s0.5,0.03765998362816388,0.03665452977262834,0.01827941566121395,2,102.3,0.3,0.8
fixed_delta_40,i6_r4_s0.5,0.037741855000767655,0.033953848125744805,0.01626166212697273,1,116.1,1.3,2.4
fixed_critical_40,i6_r4_s1,0.03775507336651289,0.031036610471674112,0.015658064521162942,2,111.4,1.6,3.2
fixed_critical_40,i6_r4_s0.5,0.037932791636607045,0.0320833236200486,0.014291037310097524,2,105.2,2.0,5.0
fixed_bottleneck_40,i8_r2_s0.5,0.038565472782756835,0.030906819340209536,0.014692395276377956,2,47.9,0.1,0.2
fixed_late_jobs_40,i8_r2_s0.5,0.03892014376540896,0.03307163654281248,0.016226663111558765,1,41.6,0.2,1.1
fixed_random_40,i8_r2_s0.5,0.0397896572691611,0.03305561504820015,0.010174111600451247,3,57.0,1.7,5.3
fixed_machine_40,i8_r2_s0.5,0.0398458631304028,0.03722026457886893,0.015962464891603044,1,48.2,0.5,1.3
fixed_outage_window_40,i8_r2_s0.5,0.040851607289224504,0.0375732802251328,0.015630565296983513,1,57.1,0.2,0.4
fixed_delta_expand_40,i8_r2_s0.5,0.04090739981512627,0.03781118888292753,0.015630565296983513,1,56.9,0.2,0.4
fixed_bottleneck_40,i6_r4_s1,0.042260980690614465,0.04243290945854486,0.02486733926468206,1,93.8,0.3,0.4
fixed_bottleneck_40,i6_r4_s0.5,0.04235090557324709,0.04278158316344066,0.02486733926468206,1,92.1,0.3,0.4
