method,delta_kind,mean_pi,mean_final_gap,n
cpsat_warm,arrival,0.010871426946338535,0.003963866280144093,280
boot_warm,arrival,0.027272641909003748,0.01377865604792774,280
boot_cold,arrival,0.03556020790689868,0.02078116736489861,280
cpsat_cold,arrival,0.05266011641039762,0.02153005638334639,280
cpsat_warm,base,0.02702135190896826,0.00019687870849896002,80
cpsat_cold,base,0.02760476196063243,0.00069069168244577,80
boot_cold,base,0.02789354025120096,0.0012160720503620762,80
boot_warm,base,0.027995637412539555,0.0013784756089549699,80
boot_warm,cancellation,0.013882416385458955,0.006718065183926321,70
cpsat_warm,cancellation,0.01683293091200781,0.006106201557006929,70
boot_cold,cancellation,0.022047728505090944,0.01294881336366837,70
cpsat_cold,cancellation,0.04728600050402388,0.018644448022247212,70
boot_warm,duration_jitter,0.014426871376657727,0.007800551684258813,100
boot_cold,duration_jitter,0.022693028821504035,0.015358844453619567,100
cpsat_warm,duration_jitter,0.0449380126083787,0.014856546793395476,100
cpsat_cold,duration_jitter,0.052043936108942805,0.02067103584111103,100
boot_warm,outage,0.01785761502321638,0.00543646349971257,30
boot_cold,outage,0.026616996569272706,0.013273694575906114,30
cpsat_warm,outage,0.045117934627555444,0.012137172973548016,30
cpsat_cold,outage,0.046566419645648116,0.01313670426502899,30
