method,bootstrap_policy,mean_pi,mean_final_gap,n
boot_cold,append,0.015860915219929668,0.00451959504114477,1331
boot_warm,append,0.020516846967589954,0.0051840309635154845,1327
cpsat_cold,append,0.021902746191824127,0.005175747252109212,1331
cpsat_warm,append,0.02461414065635897,0.006686184777803145,1255
lns_prev_solution,append,0.06622670603095966,0.03674058299113515,495
fix_and_optimize_50,append,0.12149313551817784,0.11877830626388057,495
dispatch_mwkr,append,0.15234241953549918,0.15206336450200483,603
greedy_from_scratch,append,0.16248737078647338,0.16230004069169707,4
local_branching_prev,append,0.22381373523437811,0.14957857381373196,495
dispatch_spt,append,0.24667517434606842,0.24644671951782632,603
repair_only,append,0.9327028247621822,0.9326769673987183,719
boot_cold,beam_insert,0.02472610158469336,0.0,72
cpsat_cold,beam_insert,0.027840154527702856,0.0,72
boot_warm,beam_insert,0.054866418005503736,0.0,72
boot_cold,gap_insert,0.023913580617478333,0.0,72
cpsat_cold,gap_insert,0.027609220606782066,0.0,72
boot_warm,gap_insert,0.0418634348532953,0.0,72
boot_cold,regret_insert,0.02402027953990127,0.0,72
cpsat_cold,regret_insert,0.027664213686972423,0.0,72
boot_warm,regret_insert,0.04409880572705419,0.0,72
