method,instance_size,mean_pi,mean_final_gap,n
boot_cold,10x10,0.008025962329332822,0.0004919079158345808,219
cpsat_cold,10x10,0.009401693406552126,7.283600724015434e-05,219
boot_warm,10x10,0.01056123365084101,0.0013362291313965525,219
cpsat_warm,10x10,0.013569276460945356,0.0015192781847028663,219
lns_prev_solution,10x10,0.03228818102046166,0.024015041976948925,165
local_branching_prev,10x10,0.10405572608454727,0.06654950647236409,165
fix_and_optimize_50,10x10,0.1455636786155762,0.1446783589109528,165
dispatch_mwkr,10x10,0.17016328074898168,0.17006875936816793,219
dispatch_spt,10x10,0.2528932104308008,0.25281543924689803,219
repair_only,10x10,1.0126918339760886,1.0126860182310065,219
boot_cold,15x15,0.026306750932370924,0.004615394587161343,619
cpsat_cold,15x15,0.03293070284746125,0.0055779649661232816,619
cpsat_warm,15x15,0.04075246114222974,0.011224265399005938,331
boot_warm,15x15,0.04152387089448229,0.005911889397024353,619
lns_prev_solution,15x15,0.08155625294116191,0.04269771249605697,165
fix_and_optimize_50,15x15,0.12954113017664917,0.12678426518571148,165
dispatch_mwkr,15x15,0.15192467573789756,0.1516053209888871,219
local_branching_prev,15x15,0.24948688799136326,0.16123153120175332,165
dispatch_spt,15x15,0.256752646080376,0.2564971641783538,219
repair_only,15x15,0.9632580445077062,0.963232150346346,331
boot_cold,20x20,0.039485016322620796,0.01725158392184145,165
boot_warm,20x20,0.04700565972817214,0.016271286183233348,165
cpsat_cold,20x20,0.05782681993752941,0.018647870022663545,165
cpsat_warm,20x20,0.0744570278390957,0.024765534766620193,165
lns_prev_solution,20x20,0.08483568413125539,0.043508994500399543,165
fix_and_optimize_50,20x20,0.08937459776230817,0.08487229469497745,165
dispatch_mwkr,20x20,0.12924373641987547,0.12877324361523557,165
dispatch_spt,20x20,0.22504659124079707,0.22465401041890395,165
local_branching_prev,20x20,0.3178985916272238,0.22095468376707847,165
repair_only,20x20,0.779309816190973,0.7792589728272872,165
boot_cold,5x5,0.002472765667170925,0.0,4
cpsat_cold,5x5,0.007985660433207625,0.0,4
greedy_from_scratch,5x5,0.16248737078647338,0.16230004069169707,4
repair_only,5x5,0.35232173992110954,0.35223232148629524,4
boot_warm,abz5_10x10,0.002652637248498055,0.0,54
boot_cold,abz5_10x10,0.00293087836357426,0.0,54
cpsat_warm,abz5_10x10,0.0036778054515183927,0.0,54
cpsat_cold,abz5_10x10,0.005160843411921311,0.0,54
boot_warm,abz6_10x10,0.0003170159783256878,0.0,54
boot_cold,abz6_10x10,0.000415538726357716,0.0,54
cpsat_warm,abz6_10x10,0.0011743990642994538,0.0,54
cpsat_cold,abz6_10x10,0.00135983888899905,0.0,54
boot_cold,ft06_6x6,0.00014694711363048626,0.0,54
boot_warm,ft06_6x6,0.0001806374588678103,0.0,54
cpsat_cold,ft06_6x6,0.0003102107248382945,0.0,54
cpsat_warm,ft06_6x6,0.0003481779641200185,0.0,54
boot_cold,ft10_10x10,0.013404264310939147,0.0020828749150280552,54
boot_warm,ft10_10x10,0.014632441253558429,0.0033759897696453685,54
cpsat_warm,ft10_10x10,0.01464522209705907,0.0029848179647471943,54
cpsat_cold,ft10_10x10,0.016717642125443882,0.000628852356537024,54
boot_warm,ft20_20x5,0.009747034192697046,0.001112031560310676,54
boot_cold,ft20_20x5,0.013320923230454992,0.0017025430412535149,54
cpsat_warm,ft20_20x5,0.015714618500381368,0.001772494815432839,54
cpsat_cold,ft20_20x5,0.028281328357393713,0.005728733554610594,54
boot_warm,la01_10x5,0.00023729218983421996,0.0,54
boot_cold,la01_10x5,0.00025142351815949537,0.0,54
cpsat_warm,la01_10x5,0.000637845592101839,0.0,54
cpsat_cold,la01_10x5,0.0007157589743441537,0.0,54
boot_warm,la02_10x5,0.00046370489922663316,0.0,54
boot_cold,la02_10x5,0.0006232092998971661,0.0,54
cpsat_warm,la02_10x5,0.0010361003888993592,0.0,54
cpsat_cold,la02_10x5,0.001287875098683289,0.0,54
boot_warm,la03_10x5,0.0006132413179863805,0.0,54
boot_cold,la03_10x5,0.0008545858771657555,0.0,54
cpsat_warm,la03_10x5,0.0009712945443034555,0.0,54
cpsat_cold,la03_10x5,0.0016350065609843148,0.0,54
boot_warm,la04_10x5,0.00048307289846856303,0.0,54
boot_cold,la04_10x5,0.0008505343024380772,0.0,54
cpsat_warm,la04_10x5,0.0010020325867304426,0.0,54
cpsat_cold,la04_10x5,0.0018332199829039426,0.0,54
boot_cold,la05_10x5,8.895581280944462e-05,0.0,54
boot_warm,la05_10x5,0.00018031581820714717,0.0,54
cpsat_cold,la05_10x5,0.0004814189564181778,0.0,54
cpsat_warm,la05_10x5,0.0005073324634503074,0.0,54
