method,n,mean_pi,median_pi,std_pi,iqr_pi,mean_final_gap,median_final_gap,mean_bootstrap_time_ms,median_bootstrap_time_ms,mean_moved_ops_frac,optimality_proof_rate,feasibility_failure_rate,n_all,n_errors
boot_cold,1547,0.017028051327185288,0.0110437908491655,0.018816088654299262,0.027894116122413548,0.0038885462183346404,0.0,0.0,0.0,0.832285456905968,0.0,0.0,1547,0
cpsat_cold,1547,0.022712820669982446,0.0169308905323265,0.023003412453469353,0.0340165057301687,0.004453083123825055,0.0,0.0,0.0,0.864398418519343,0.0,0.0,1547,0
boot_warm,1543,0.024216149931414972,0.0112584765729334,0.03604709967835085,0.036664809310805145,0.0044583338228030124,0.0,0.0,0.0,0.8370066226654497,0.0,0.0,1543,0
cpsat_warm,1255,0.02461414065635897,0.0081830251008242,0.0329968531818282,0.0377995807299366,0.006686184777803145,0.0,0.0,0.0,0.7898001403858343,0.0,0.0,1255,0
lns_prev_solution,495,0.06622670603095966,0.0565278830048879,0.051464494710454674,0.0697896234651499,0.03674058299113515,0.030379746835443,0.4890924994598585,0.3258050128351897,0.6998191318886449,0.0,0.0,495,0
fix_and_optimize_50,495,0.12149313551817785,0.1078897506929129,0.06938363139482272,0.08802093496078796,0.11877830626388056,0.1061285500747384,0.5053436101386042,0.3559740143828094,0.4407858431573547,1.0,0.0,495,0
dispatch_mwkr,603,0.15234241953549918,0.1464904830391452,0.05406041238254432,0.0707232453460007,0.15206336450200483,0.1463963963963964,2.307983746429346,1.7220450099557638,0.5917842787598806,0.0,0.0,603,0
greedy_from_scratch,4,0.16248737078647335,0.09820673595049355,0.1415875708757543,0.09587571401931959,0.16230004069169707,0.0980066445182724,0.044699001591652576,0.04445500962901855,0.68,0.0,0.0,4,0
local_branching_prev,495,0.22381373523437811,0.2290551988856982,0.13874358911560333,0.21366492106925095,0.14957857381373196,0.1434262948207171,7.859054933810099,7.35701501253061,0.27840846126471597,0.16565656565656567,0.0,495,0
dispatch_spt,603,0.24667517434606837,0.2325493977935031,0.09048459974607438,0.11970343199864733,0.24644671951782632,0.2321243523316062,2.13969738175745,1.5898270066827536,0.6304844851328474,0.0,0.0,603,0
repair_only,719,0.9327028247621822,0.8438355217784408,0.6134652322152447,0.8963847210227842,0.9326769673987185,0.8438287153652393,0.42531946081388355,0.207008997676894,0.24878217812303335,0.0,0.0,719,0
